"date","sales","price","mortgage_rate","income","unrate","permit","months_supply","construction_cost","housing_starts","under_construction","log_sales","log_price","log_income","log_permit","log_construction_cost","log_starts","log_under_construction","trend","trend2","month"
2005-03-01,1328,229300,5.928,11268.8,5.2,2062,4.1,170,1864,1311,7.19142933003638,12.342786468846,9.32979312399115,7.6314316645769,5.13579843705026,7.53047999524554,7.1785454837637,63,3969,"03"
2005-04-01,1260,236300,5.855,11304.2,5.2,2150,4.3,170,2061,1324,7.13886699994552,12.372857463175,9.33292961705993,7.67322312112171,5.13579843705026,7.63094658089046,7.18841273649695,64,4096,"04"
2005-05-01,1286,228300,5.72,11352.7,5.1,2085,4.2,168.1,2025,1322,7.15929190479756,12.3384158325179,9.33721088008184,7.6425241342329,5.12455904041457,7.61332497954064,7.18690102041163,65,4225,"05"
2005-06-01,1274,226100,5.582,11375.5,5,2178,4.3,167.8,2068,1329,7.14991683613211,12.3287326582661,9.33921719889707,7.68616230349291,5.12277279403311,7.63433723562832,7.19218205871325,66,4356,"06"
2005-07-01,1389,229200,5.695,11387.1,5,2203,4.2,167.2,2054,1338,7.23633934275434,12.3423502638227,9.34023641471637,7.69757534680234,5.1191907006506,7.6275443904885,7.19893124068817,67,4489,"07"
2005-08-01,1255,240100,5.82,11405.3,4.9,2219,4.5,165.9,2095,1356,7.13489085156588,12.3888107822093,9.34183343862506,7.70481192293259,5.1113851971964,7.64730883235624,7.21229446850034,68,4624,"08"
2005-09-01,1244,240400,5.774,11365.2,5,2263,4.7,168.9,2151,1377,7.12608727329912,12.3900594816432,9.33831133402006,7.72444664563354,5.12930682381375,7.67368812926773,7.22766249872865,69,4761,"09"
2005-10-01,1336,243900,6.065,11428.7,5,2170,4.5,171.6,2065,1376,7.19743535409659,12.404513584204,9.34388301453743,7.68248244653451,5.14516618705386,7.63288550539513,7.22693601849329,70,4900,"10"
2005-11-01,1214,237900,6.33,11500.1,5,2218,5,172.7,2147,1395,7.10167597161944,12.379605696291,9.35011100996571,7.70436116791031,5.15155598515263,7.67182679787878,7.24064969425547,71,5041,"11"
2005-12-01,1239,238600,6.272,11535.2,4.9,2120,4.9,173.5,1994,1405,7.12205988162914,12.382543788646,9.35315850899244,7.65917136766606,5.15617759938691,7.59789795052178,7.24779258176785,72,5184,"12"
2006-01-01,1174,244900,6.145,11651.8,4.7,2212,5.3,177.2,2273,1424,7.06817200038804,12.4086052429403,9.36321595349672,7.70165236264223,5.17727903817098,7.72885582385254,7.26122509197192,73,5329,"01"
2006-02-01,1061,250800,6.2525,11702.8,4.8,2141,6.1,177.7,2119,1423,6.96696713861398,12.4324110877409,9.3675834083936,7.66902828858968,5.18009673516061,7.6586995582683,7.26052259808985,74,5476,"02"
2006-03-01,1116,238800,6.324,11747.5,4.7,2118,5.9,178.3,1969,1423,7.01750614294126,12.3833816605006,9.37139573097697,7.65822752616135,5.1834675248691,7.58528107863913,7.26052259808985,75,5625,"03"
2006-04-01,1123,257000,6.5075,11744.4,4.7,1998,6.3,179,1821,1401,7.02375895473844,12.4568313638774,9.37113181021977,7.5999019592085,5.18738580584075,7.50714107972761,7.24494154633701,76,5776,"04"
2006-05-01,1086,238200,6.5975,11736.8,4.6,1905,6.2,179.9,1942,1409,6.99025650049388,12.3808659359033,9.37048448382543,7.5522372875608,5.19240114095649,7.57147364885127,7.25063551189868,77,5929,"05"
2006-06-01,1074,243200,6.682,11751.9,4.6,1867,6.3,180.7,1802,1383,6.97914527506881,12.4016394290741,9.37177020862758,7.53208814354172,5.19683819759818,7.49665243816828,7.23201033166476,78,6084,"06"
2006-07-01,965,238100,6.7625,11746.9,4.7,1763,7.3,182.3,1737,1363,6.87212810133899,12.380446032475,9.37134465497587,7.47477218239787,5.20565368168462,7.4599147662411,7.21744343169653,79,6241,"07"
2006-08-01,1035,243900,6.524,11737,4.7,1722,6.7,182.6,1650,1339,6.94215670569947,12.404513584204,9.37050152410012,7.45124168498768,5.20729796816087,7.40853056689463,7.19967834569117,80,6400,"08"
2006-09-01,1016,226700,6.4025,11800.1,4.5,1655,6.7,183.3,1720,1317,6.92362862813843,12.3313828364956,9.37586328499412,7.41155628781116,5.21112415484566,7.4500795698075,7.18311170174328,81,6561,"09"
2006-10-01,941,250400,6.3575,11853.7,4.4,1570,7.3,182.3,1491,1283,6.84694313958538,12.4308149182081,9.38039533411459,7.35883089834235,5.20565368168462,7.30720231476474,7.15695636461564,82,6724,"10"
2006-11-01,1003,240100,6.24,11901.9,4.5,1535,6.6,179.8,1570,1265,6.91075078796194,12.3888107822093,9.38445333022025,7.3362856600213,5.19184512203752,7.35883089834235,7.14282740116162,83,6889,"11"
2006-12-01,998,244700,6.135,11958.6,4.4,1638,6.5,179.8,1649,1247,6.90575327631146,12.4077882494308,9.38920596379675,7.40123126441302,5.19184512203752,7.4079243225596,7.12849594568004,84,7056,"12"
2007-01-01,891,254400,6.2175,11956.6,4.6,1626,7.2,181.1,1409,1217,6.79234442747081,12.4466631104481,9.38903870615268,7.39387829010776,5.19904936488937,7.25063551189868,7.10414409298753,85,7225,"01"
2007-02-01,828,250800,6.285,11996,4.5,1598,7.9,181.5,1480,1206,6.71901315438526,12.4324110877409,9.3923285398689,7.37650812632622,5.2012556537049,7.29979736675816,7.09506437728713,86,7396,"02"
2007-03-01,833,262600,6.156,12035.1,4.4,1596,7.9,182.5,1495,1192,6.72503364216684,12.4783872408508,9.39558265928111,7.37525577800975,5.20675017302255,7.30988148582479,7.0833878476253,87,7569,"03"
2007-04-01,887,242500,6.18,12052.8,4.5,1470,7.4,183.7,1490,1181,6.78784498230958,12.3987569893597,9.39705227707143,7.29301767977278,5.21330399222108,7.3065313989395,7.07411681619736,88,7744,"04"
2007-05-01,842,245000,6.262,12059.9,4.4,1493,7.8,184,1415,1164,6.73578001424233,12.4090134895269,9.39764117837283,7.30854279753919,5.21493575760899,7.25488481007734,7.05961762829138,89,7921,"05"
2007-06-01,793,235500,6.6575,12053.3,4.6,1407,8.2,184,1448,1161,6.67582322163485,12.3694661924386,9.39709376034745,7.24921505711439,5.21493575760899,7.27793857294566,7.05703698169789,90,8100,"06"
2007-07-01,778,246200,6.695,12066.4,4.7,1361,8.3,184.2,1354,1144,6.65672652417839,12.4138994927325,9.39818000945404,7.21597500265147,5.21602212382121,7.21081845347222,7.04228617193974,91,8281,"07"
2007-08-01,699,236500,6.572,12070.9,4.6,1321,9.2,183.9,1330,1123,6.54965074223381,12.3737034869141,9.39855287634903,7.18614430452233,5.21439213161028,7.1929342212158,7.02375895473844,92,8464,"08"
2007-09-01,686,240300,6.3825,12089.6,4.7,1261,9.2,183.4,1183,1108,6.53087762772588,12.3896434217246,9.40010085786714,7.13966033596492,5.21166955982236,7.07580886397839,7.01031186730723,93,8649,"09"
2007-10-01,727,234300,6.375,12080.4,4.7,1192,8.5,183,1264,1096,6.58892647753352,12.3643576244959,9.39933958352338,7.0833878476253,5.20948615284142,7.1420365747068,6.99942246750796,94,8836,"10"
2007-11-01,641,249100,6.208,12070.1,4.7,1224,9.4,183.3,1197,1080,6.46302945692067,12.4256097012503,9.3984865990614,7.10987946307227,5.21112415484566,7.08757370555797,6.98471632011827,95,9025,"11"
2007-12-01,619,227700,6.095,12120.5,5,1149,9.6,183.5,1037,1059,6.4281052726846,12.3357842520518,9.40265351289779,7.04664727784876,5.21221466749463,6.94408720822953,6.96508034560141,96,9216,"12"
2008-01-01,627,232400,5.758,12137.1,5,1094,9.3,184.3,1084,1041,6.44094654063292,12.3562153039599,9.40402215634077,6.99759598298193,5.21656486467578,6.98841318199959,6.94793706861497,97,9409,"01"
2008-02-01,593,245300,5.9175,12141.8,4.9,1014,9.7,185.7,1103,1025,6.38519439899773,12.4102372302466,9.40440932380377,6.92165818415113,5.22413246835866,7.0057890192535,6.93244789157251,98,9604,"02"
2008-03-01,535,229300,5.97,12145.9,5.1,967,10.5,187.8,1005,1014,6.28226674689601,12.342786468846,9.40474694326045,6.87419849545329,5.23537756677416,6.91274282049318,6.92165818415113,99,9801,"03"
2008-04-01,536,246400,5.9175,12100.8,5,1008,10.3,190.9,1013,1009,6.2841341610708,12.4147115106415,9.40102684510176,6.91572344863131,5.2517497307317,6.92067150424868,6.91671502035361,100,10000,"04"
2008-05-01,504,229300,6.036,12696.2,5.4,995,10.7,195.8,973,991,6.22257626807137,12.342786468846,9.44905801507524,6.90274273715859,5.27709373009641,6.880384082186,6.89871453432999,101,10201,"05"
2008-06-01,487,234300,6.32,12376.6,5.6,1180,10.7,200.4,1046,975,6.18826412308259,12.3643576244959,9.42356287200857,7.07326971745971,5.30031536921071,6.95272864462487,6.88243747099785,102,10404,"06"
2008-07-01,477,237300,6.426,12188.7,5.8,921,10.5,203.4,923,955,6.16751649088834,12.3770804424239,9.40826457199755,6.82546003625531,5.31517448361446,6.82762923450285,6.86171134048073,103,10609,"07"
2008-08-01,435,221000,6.4775,12120.6,6.1,858,11.3,206.5,844,936,6.07534603108868,12.3059179804999,9.40266176334847,6.75460409948796,5.33030041240109,6.73815249459596,6.84161547647759,104,10816,"08"
2008-09-01,433,225200,6.0375,12149,6.1,797,10.9,206.3,820,904,6.07073772800249,12.3247441752477,9.40500214085474,6.68085467879022,5.32933142007721,6.7093043402583,6.80682936039218,105,11025,"09"
2008-10-01,393,213200,6.2,12240.5,6.5,736,11.6,201.8,777,876,5.97380961186926,12.2699859712738,9.4125054049052,6.60123011872888,5.30727710791951,6.65544035036765,6.77536609093639,106,11236,"10"
2008-11-01,389,221600,6.0875,12345.9,6.8,626,11.4,199.6,652,842,5.96357934361845,12.3086292338553,9.42107930313163,6.4393503711001,5.29631536387736,6.48004456192665,6.73578001424233,107,11449,"11"
2008-12-01,377,229600,5.286,12288.8,7.3,554,11.2,194.8,560,806,5.93224518744801,12.3440939434275,9.41644355743494,6.31716468674728,5.27197339120843,6.3279367837292,6.69208374250663,108,11664,"12"
2009-01-01,336,208600,5.0475,12361.5,7.8,545,12.2,193.3,490,783,5.8171111599632,12.2481738215488,9.42234208287155,6.30078579466324,5.26424338621429,6.19440539110467,6.6631326959908,109,11881,"01"
