"equation","method","term","estimate","standard_error","statistic","p_value","N"
"dynamic_lagY_supply","2SLS_manual_HC3","(Intercept)",0.743865807535612,0.586716880883063,1.26784456314948,0.205860041706968,299
"dynamic_lagY_supply","2SLS_manual_HC3","log_price",-0.075544491837307,0.0931753587346151,-0.810777579643939,0.418151481033114,299
"dynamic_lagY_supply","2SLS_manual_HC3","log_permit",0.162020319165065,0.0607510889195081,2.6669533344453,0.00807969823070134,299
"dynamic_lagY_supply","2SLS_manual_HC3","months_supply",-0.00947398904885027,0.00293058221803913,-3.23280097399533,0.00136575481716219,299
"dynamic_lagY_supply","2SLS_manual_HC3","log_construction_cost",0.0410509582015201,0.100534871301858,0.408325565745877,0.683332915867068,299
"dynamic_lagY_supply","2SLS_manual_HC3","L1_log_sales",0.826476306508147,0.0499122161946646,16.558597664443,6.30385984807799e-44,299
"yoy_growth_demand","2SLS_manual_HC3","(Intercept)",-0.166284659533021,0.0231377588400032,-7.18672282319448,5.91299116296873e-12,288
"yoy_growth_demand","2SLS_manual_HC3","d12_log_price",2.75799717283743,0.426351828384807,6.46882923731286,4.32886957390996e-10,288
"yoy_growth_demand","2SLS_manual_HC3","d12_mortgage_rate",-0.056168095323518,0.0144440684644284,-3.88866166494876,0.000125670322879489,288
"yoy_growth_demand","2SLS_manual_HC3","d12_log_income",1.94923499699034,0.416828018754751,4.67635309836791,4.52723802415745e-06,288
"yoy_growth_demand","2SLS_manual_HC3","d12_unrate",0.0233605622242064,0.0113483916063798,2.05849102097197,0.0404583263751444,288
"yoy_growth_supply","2SLS_manual_HC3","(Intercept)",0.052405385886275,0.0225623075045088,2.32269619921643,0.0209046892852929,288
"yoy_growth_supply","2SLS_manual_HC3","d12_log_price",-1.42030488260658,0.82023941377062,-1.73157356103809,0.0844392698749518,288
"yoy_growth_supply","2SLS_manual_HC3","d12_log_permit",0.913317689878858,0.176748407301193,5.16733193709913,4.49085468493616e-07,288
"yoy_growth_supply","2SLS_manual_HC3","d12_months_supply",-0.037167918887736,0.0128148441453259,-2.90038009563252,0.00401945672582738,288
"yoy_growth_supply","2SLS_manual_HC3","d12_log_construction_cost",0.0330748286203898,0.301230032048701,0.109799240120395,0.912646412629519,288
"mom_growth_demand","2SLS_manual_HC3","(Intercept)",-0.0039200096309267,0.0055221696285515,-0.709867659743539,0.478348840927852,299
"mom_growth_demand","2SLS_manual_HC3","d1_log_price",0.642528521783616,0.730736426530292,0.879289027419219,0.379962686452812,299
"mom_growth_demand","2SLS_manual_HC3","d1_mortgage_rate",-0.0495795466317629,0.0263239876603406,-1.88343602312422,0.0606282195971703,299
"mom_growth_demand","2SLS_manual_HC3","d1_log_income",0.45092432718444,0.216602861582837,2.0818022619336,0.0382253567239876,299
"mom_growth_demand","2SLS_manual_HC3","d1_unrate",-0.0164239815833719,0.0316076922212185,-0.519619764341617,0.60371960438202,299
"mom_growth_supply","2SLS_manual_HC3","(Intercept)",-0.000583987576065607,0.00276214387635802,-0.211425473185566,0.832701763091995,299
"mom_growth_supply","2SLS_manual_HC3","d1_log_price",0.218796255377676,0.619553416022569,0.353151560009646,0.724227896215474,299
"mom_growth_supply","2SLS_manual_HC3","d1_log_permit",0.0263147441686654,0.0914871363472432,0.287633269761408,0.773830117503673,299
"mom_growth_supply","2SLS_manual_HC3","d1_months_supply",-0.129268076428757,0.00453982765615741,-28.4742255035672,1.65759979432358e-86,299
"mom_growth_supply","2SLS_manual_HC3","d1_log_construction_cost",0.348364022483813,0.235383845452763,1.47998271425012,0.139948613476375,299
"detrended_cycle_demand","2SLS_manual_HC3","(Intercept)",0.53205238829644,0.0807652954902518,6.58763624978823,2.04909238952549e-10,300
"detrended_cycle_demand","2SLS_manual_HC3","log_price_cycle",2.60174211083597,0.231135136705323,11.2563678024988,1.08208041706099e-24,300
"detrended_cycle_demand","2SLS_manual_HC3","mortgage_rate",-0.0651775631412284,0.00876068259184484,-7.43978137067778,1.10789727968913e-12,300
"detrended_cycle_demand","2SLS_manual_HC3","log_income_cycle",4.06901735843666,1.10536271167618,3.68116032452947,0.000276008569009915,300
"detrended_cycle_demand","2SLS_manual_HC3","unrate",-0.0344821753993355,0.00837740014826274,-4.11609506399026,5.0060352231774e-05,300
"detrended_cycle_supply","2SLS_manual_HC3","(Intercept)",-0.201339541022155,0.0416466225085826,-4.83447465591388,2.1516881465756e-06,300
"detrended_cycle_supply","2SLS_manual_HC3","log_price_cycle",-1.82748172856066,0.468187971797996,-3.90330772818134,0.000117626476218721,300
"detrended_cycle_supply","2SLS_manual_HC3","log_permit_cycle",1.40455439013558,0.104399367798134,13.4536675820817,1.68204212685462e-32,300
"detrended_cycle_supply","2SLS_manual_HC3","months_supply",0.0332646008958261,0.00698602564365594,4.76159158190808,3.01508954064163e-06,300
"detrended_cycle_supply","2SLS_manual_HC3","log_construction_cost_cycle",0.23984142287699,0.215024421885302,1.11541480160298,0.265580513355717,300
"clean_ivset_demand","2SLS_manual_HC3","(Intercept)",13.296601285181,2.44331044282231,5.44204332455675,1.10862495720449e-07,300
"clean_ivset_demand","2SLS_manual_HC3","log_price",0.0730375373695885,0.43748182493334,0.166949878159435,0.86752386472904,300
"clean_ivset_demand","2SLS_manual_HC3","mortgage_rate",0.0318936911198211,0.0158960530637564,2.00639057959236,0.045727077544468,300
"clean_ivset_demand","2SLS_manual_HC3","log_income",-0.766507355413559,0.778821309929154,-0.984188986153042,0.32582909358693,300
"clean_ivset_demand","2SLS_manual_HC3","unrate",-0.110833604765967,0.0192860208834856,-5.74683629326945,2.26586197010746e-08,300
"clean_ivset_supply","2SLS_manual_HC3","(Intercept)",1.20357590065159,0.86923589861138,1.38463667063719,0.167209955701217,300
"clean_ivset_supply","2SLS_manual_HC3","log_price",0.0089688948885749,0.140663962617358,0.0637611419562564,0.949203602020243,300
"clean_ivset_supply","2SLS_manual_HC3","log_permit",1.03589422649803,0.0258986375301706,39.9980201773649,3.62979544617824e-121,300
"clean_ivset_supply","2SLS_manual_HC3","months_supply",0.0167724147942922,0.00519649322081763,3.22764104205897,0.00138876686841749,300
"clean_ivset_supply","2SLS_manual_HC3","log_construction_cost",-0.443325871573679,0.15455930267673,-2.86832215140696,0.00442426615478023,300
"lagged_IV_demand","2SLS_manual_HC3","(Intercept)",12.9451680657818,2.41135773614286,5.36841459554174,1.62200005738703e-07,297
