"industry","CAR_3day","RateVulnerability_z","MktBeta_z","SMBBeta_z","HMLBeta_z","RMWBeta_z","CMABeta_z","HistVol_z","PreMomentum_z","Z_precovid_2Y_z","Z_early_nonoverlap_2Y_z","Z_verylong_2Y_z","Z_termspread_z"
"Mach",-1.46,-0.6816337616604,0.785903685771347,0.498572482096322,0.574144619936329,0.317751138867929,-0.399344894697101,-0.210410163812983,0.479568362706263,-0.443965653313496,-0.611036809405892,-0.890739581404396,-0.568656372799186
"Meals",-2.79,-0.126286635805886,0.00421243366085472,0.0765518008639361,-0.285980400231095,0.155417832456309,-0.323549579699206,-0.346213608354125,0.594850441940744,0.193166931268116,0.829846347659531,0.862462604971484,-0.769853460356877
"MedEq",-4.67,-0.681962582564193,-0.304899984501554,-0.337818727751176,-1.14873523236281,-0.0433390771031527,0.18485513154912,-0.282010791573641,-0.173696752955795,0.087503478383101,-0.639354654329578,0.00373327160652993,-0.824869411843946
"Mines",0.61,-0.496994516302189,1.05273822237999,-0.520143945402528,1.70370637052727,-1.35556265544643,-0.298817102982804,0.576763471150359,0.366363438052584,0.380116465515361,0.677367397160467,0.230611767382094,-0.83699452499375
"Oil",0.78,0.366044982005989,0.227829758250034,-1.25369350756073,2.69931168032937,-2.95987291690035,1.59491062206745,0.634266863782846,2.76028409242626,-0.699001111154104,-0.162504962751279,0.0535684547511651,-0.00917063320173453
"Other",-2.26,0.00524261030635954,-0.549535671619206,-0.921683674757141,0.89593894236176,-0.00874290633725283,-0.380112903542558,-1.14060035806651,0.530458649935899,0.166969661538366,0.216301466267764,-0.122181010685789,-0.0182200494055354
"Paper",-2.58,-0.214892590365273,-0.868431548606805,0.481043336418696,0.20182915545517,1.18884701039937,-0.255072337531888,-0.992962072174255,-0.825923291327454,-0.00664191266813882,-0.740881282406497,-0.581697815631703,0.971306504811017
"PerSv",-2.29,-0.032256542806852,0.141458470097454,0.357858897533845,-0.607573078288038,0.393033787641339,-0.12523704016311,-0.145331111828771,0.280161522949323,-0.141951799719901,1.43731208570196,0.466007882151664,-0.186851643963826
"RlEst",-2.93,0.00375792299795475,0.98717228046685,1.18871638713019,0.25149150718835,0.145749262490787,-0.532915547909123,0.278530639041202,-1.10114627328365,0.147332652511774,1.30449115402323,0.823550226746129,-1.20491945216629
"Rtail",-6.58,0.241947785242405,0.327804204125233,-0.934738747587223,-0.367454739398879,0.476310841060384,-1.13565930592235,0.0493841479110079,-0.803074590938637,-0.24438641369559,-0.435291411537604,-0.85309993351936,-0.210722049419596
"Rubbr",-10.62,0.469620629344547,0.0125443128398806,-0.4157930160056,-0.612030196252303,0.497710321018237,-0.307287717570783,-0.211993690256758,-1.887349282117,-0.30737300492229,-1.24932071383939,-0.583444266947237,0.191762190992965
